Page,OriginalDate,DaysSinceStart,Prompt
3642,2010-04-23,375,==>
3643,2010-04-23,375,==>
3644,2010-04-24,376,TA: Fix GA's computer.
3645,2010-04-24,376,==>
3646,2010-04-24,376,==>
3647,2010-04-24,376,Rose: Examine laptop.
3648,2010-04-24,376,Rose: Go find John.
3649,2010-04-24,376,Rose: Proceed through door uneventfully.
3650,2010-04-24,376,John: Equip trusty rocket.
3651,2010-04-24,376,==>
3652,2010-04-24,376,John: Blast off.
3653,2010-04-24,376,==>
3654,2010-04-24,376,==>
3655,2010-04-25,377,Dave: Be the puppet.
3656,2010-04-25,377,==>
3657,2010-04-25,377,==>
3658,2010-04-25,377,==>
3659,2010-04-25,377,AR?: Follow.
3660,2010-04-25,377,John: Explore.
3661,2010-04-25,377,==>
3662,2010-04-26,378,John: Investigate.
3663,2010-04-26,378,John: Enter.
3664,2010-04-26,378,John: Aggress.
3665,2010-04-26,378,John: Collect spoils.
3666,2010-04-26,378,John: Proceed.
3667,2010-04-27,379,==>
3668,2010-04-27,379,==>
3669,2010-04-27,379,==>
3670,2010-04-27,379,John: Explore lab.
3671,2010-04-27,379,John: Explore lab further.
3672,2010-04-27,379,"John: Who cares, just ride the pony already."
3673,2010-04-27,379,==>
3674,2010-04-27,379,"John: But seriously, keep exploring."
3675,2010-04-27,379,John: Put it on.
3676,2010-04-27,379,John: Examine nearby station.
3677,2010-04-27,379,AR?: Resist urge to ride bro's rocket board.
3678,2010-04-27,379,AR?: Pop a fucking wheelie.
3679,2010-04-29,381,==>
3680,2010-04-29,381,PM?: Prepare to depart for battlefield.
3681,2010-04-29,381,==>
3682,2010-04-29,381,==>
3683,2010-04-29,381,==>
3684,2010-04-29,381,==>
3685,2010-04-29,381,CD?: Pick PM?'s pocket.
3686,2010-04-29,381,==>
3687,2010-04-29,381,PM?: Depart.
3688,2010-04-29,381,==>
3689,2010-04-29,381,==>
3690,2010-04-29,381,==>
3691,2010-04-29,381,==>
3692,2010-04-29,381,==>
3693,2010-04-29,381,==>
3694,2010-04-29,381,==>
3695,2010-04-29,381,==>
3696,2010-04-29,381,==>
3697,2010-04-29,381,==>
3698,2010-04-29,381,==>
3699,2010-04-29,381,==>
3700,2010-05-05,387,"Meanwhile, in a Timeless Expanse..."
3701,2010-05-05,387,[S] WV?: Rise up.
3702,2010-05-06,388,Rose: Alchemize a whole bunch of cool stuff.
3703,2010-05-06,388,Rose: Combine hub and laptop.
3704,2010-05-06,388,Rose: Combine bronzed vacuum and umbrella.
3705,2010-05-06,388,Rose: Combine salamander and eldritch plush.
3706,2010-05-06,388,Rose: Combine ink bottle and Gushers.
3707,2010-05-06,388,Rose: Combine hubtop and hair band.
3708,2010-05-06,388,Rose: Combine magnetic W and bottle of vodka.
3709,2010-05-06,388,Rose: Combine wizard statue and ball of yarn.
3710,2010-05-06,388,Rose: Combine wizard statue and knitting needles.
3711,2010-05-06,388,Rose: Combine knittings and velvet pillow and squiddle shirt
3712,2010-05-06,388,Rose: Combine needlewands and grimoire.
3713,2010-05-06,388,==>
3714,2010-05-07,389,==>
3715,2010-05-07,389,Rose: Aggrieve encroaching malefactors.
3716,2010-05-07,389,==>
3717,2010-05-12,394,Jade: Build.
3718,2010-05-12,394,==>
3719,2010-05-12,394,==>
3720,2010-05-12,394,Dave: Wake up and jam.
3721,2010-05-12,394,Dave: Combine sunglasses and iPhone.
3722,2010-05-12,394,Dave: Combine timetables and computer.
3723,2010-05-12,394,Dave: Combine puppet tux + smuppet.
3724,2010-05-13,395,Dave: Combine broken Caledscratch and ruby contraband.
3725,2010-05-13,395,Dave: Preview item with holopad.
3726,2010-05-13,395,Dave: Combine whole Caledscratch and ruby contraband.
3727,2010-05-13,395,Dave: Combine shitty sword and Hella Jeff drawing.
3728,2010-05-13,395,Dave: Combine Snoop Dogg photo and mini A/C and Caledscratch
3729,2010-05-13,395,Dave: Combine skateboard and Hella Jeff drawing.
3730,2010-05-13,395,==>
3731,2010-05-13,395,Dave: Make another one.
3732,2010-05-13,395,Dave: Combine Gamebro Magazine and timetables.
3733,2010-05-13,395,Dave: Combine batarang + Midnight Crew poster.
3734,2010-05-13,395,Dave: Combine plush puppet tux + Midnight Crew poster.
3735,2010-05-13,395,Dave: Combine plush puppet tux + Felt poster.
3736,2010-05-14,396,Dave: Combine smuppet and Felt poster.
3737,2010-05-14,396,Dave: Combine dead things in amber && smuppet.
3738,2010-05-14,396,Dave: Combine dead things in amber || smuppet.
3739,2010-05-14,396,Dave: Combine fetus in a jar and Mr. T puppet.
3740,2010-05-14,396,==>
3741,2010-05-14,396,Dave: Combine camera and captchalogue card.
3742,2010-05-14,396,Dave: Take photo of self.
3743,2010-05-14,396,Dave: Combine fetus in a jar and self portrait photo.
3744,2010-05-14,396,Dave: Captcharoid the hologram of your own brain.
3745,2010-05-14,396,Dave: Combine brain and SBaHJ drawing and captcharoid camera
3746,2010-05-14,396,Dave: Try it out.
3747,2010-05-14,396,==>
3748,2010-05-14,396,Dave: Make copies of Rose's journals.
3749,2010-05-14,396,Dave: Take a look.
3750,2010-05-14,396,Dave: Read it.
3751,2010-05-14,396,==>
3752,2010-05-14,396,Dave: Read Complacency of the Learned.
3753,2010-05-15,397,==>
3754,2010-05-15,397,Dave: Go get a bookmark.
3755,2010-05-15,397,==>
3756,2010-05-15,397,Dave: Check on Rose.
3757,2010-05-15,397,Dave: Pester.
3758,2010-05-16,398,Davesprite: Also pester.
3759,2010-05-16,398,==>
3760,2010-05-16,398,==>
3761,2010-05-16,398,Dave: Chill with Davesprite.
3762,2010-05-16,398,==>
3763,2010-05-16,398,Dave: Go back in time and stop the thief.
3764,2010-05-16,398,Dave: Throw yourself out the window.
3765,2010-05-19,401,John: Press a button on the control panel.
3766,2010-05-19,401,John: Examine monitor.
3767,2010-05-19,401,John: Zoom in.
3768,2010-05-19,401,==>
3769,2010-05-19,401,==>
3770,2010-05-19,401,John: Press blue button.
3771,2010-05-19,401,==>
3772,2010-05-19,401,==>
3773,2010-05-19,401,John: => SWITCH 4
3774,2010-05-19,401,John: Zoom in.
3775,2010-05-19,401,==>
3776,2010-05-19,401,John: Press blue button.
3777,2010-05-19,401,John: => SWITCH 3
3778,2010-05-19,401,John: Zoom in.
3779,2010-05-19,401,==>
3780,2010-05-19,401,John: Press blue button.
3781,2010-05-19,401,John: => SWITCH 2
3782,2010-05-19,401,John: Zoom in.
3783,2010-05-19,401,==>
3784,2010-05-19,401,==>
3785,2010-05-19,401,==>
3786,2010-05-19,401,John: Press blue button.
3787,2010-05-19,401,==>
3788,2010-05-19,401,John: There's one more button to push.
3789,2010-05-19,401,==>
3790,2010-05-19,401,==>
3791,2010-05-20,402,John: Scale echeladder.
3792,2010-05-20,402,==>
3793,2010-05-20,402,==>
3794,2010-05-20,402,==>
3795,2010-05-21,403,Navigating the veil nearby...
3796,2010-05-21,403,==>
3797,2010-05-21,403,==>
3798,2010-05-21,403,==>
3799,2010-05-21,403,==>
3800,2010-05-21,403,==>
3801,2010-05-21,403,==>
3802,2010-05-21,403,==>
3803,2010-05-22,404,CG: Troll John.
3804,2010-05-22,404,John: Tend to little pink monkeys.
3805,2010-05-22,404,==>
3806,2010-05-22,404,==>
3807,2010-05-23,405,John: Get trolled by CG again.
3808,2010-05-23,405,==>
3809,2010-05-23,405,AR?: Shred.
3810,2010-05-23,405,==>
3811,2010-05-23,405,AR?: Go in.
3812,2010-05-23,405,AR?: Go down.
3813,2010-05-23,405,AR?: Search premises.
3814,2010-05-23,405,AR?: Examine equipment.
3815,2010-05-24,406,==>
3816,2010-05-24,406,==>
3817,2010-05-24,406,==>
3818,2010-05-24,406,==>
3819,2010-05-24,406,==>
3820,2010-05-24,406,==>
3821,2010-05-24,406,==>
3822,2010-05-24,406,AR?: Fast forward.
3823,2010-05-24,406,==>
3824,2010-05-24,406,==>
3825,2010-05-24,406,==>
3826,2010-05-24,406,==>
3827,2010-05-24,406,==>
3828,2010-05-24,406,==>
3829,2010-05-25,407,John: Get trolled by CG in sane and linear manner.
3830,2010-05-25,407,==>
3831,2010-05-26,408,[S] John: Reunite with your loving wife and daughter.
3832,2010-05-26,408,END OF ACT 4
3833,2010-05-26,408,==>
3834,2010-05-28,410,==>
3835,2010-05-28,410,Dave: Get trolled by GC.
3836,2010-05-30,412,Jade: Get trolled by AT.
3837,2010-05-30,412,==>
3838,2010-05-31,413,Rose: Get trolled by GA.
3839,2010-05-31,413,Dave: Keep getting trolled by GC.
3840,2010-05-31,413,[S] Descend.
3841,2010-06-05,418,==>
3842,2010-06-07,420,==>
3843,2010-06-07,420,Hours in the future...
3844,2010-06-07,420,the recent past is recalled...
3845,2010-06-07,420,==>
3846,2010-06-08,421,==>
3847,2010-06-08,421,==>
3848,2010-06-08,421,Hours in the future...
3849,2010-06-08,421,the recent past is recalled...
3850,2010-06-08,421,==>
3851,2010-06-08,421,==>
3852,2010-06-09,422,==>
3853,2010-06-09,422,==>
3854,2010-06-09,422,==>
3855,2010-06-09,422,John!
3856,2010-06-09,422,==>
3857,2010-06-09,422,"dear john,"
3858,2010-06-09,422,==>
3859,2010-06-09,422,==>
3860,2010-06-09,422,==>
3861,2010-06-09,422,==>
3862,2010-06-09,422,==>
3863,2010-06-10,423,Hours in the future...
3864,2010-06-10,423,the recent past is recalled...
3865,2010-06-10,423,==>
3866,2010-06-10,423,==>
3867,2010-06-10,423,==>
3868,2010-06-10,423,==>
3869,2010-06-10,423,==>
3870,2010-06-10,423,==>
3871,2010-06-10,423,==>
3872,2010-06-10,423,==>
3873,2010-06-10,423,==>
3874,2010-06-11,424,Hours in the future...
3875,2010-06-11,424,and then years...
3876,2010-06-11,424,==>
3877,2010-06-11,424,==>
3878,2010-06-11,424,==>
3879,2010-06-11,424,==>
3880,2010-06-11,424,==>
3881,2010-06-11,424,==>
3882,2010-06-11,424,==>
3883,2010-06-11,424,==>
3884,2010-06-11,424,==>
3885,2010-06-12,425,==>
3886,2010-06-12,425,==>
3887,2010-06-12,425,==>
3888,2010-06-12,425,Recap 2.
3889,2010-06-12,425,ACT 5 ==>
3890,2010-06-12,425,Enter name.
3891,2010-06-12,425,Try again.
3892,2010-06-12,425,Hivebent
3893,2010-06-13,426,Enter name.
3894,2010-06-13,426,Try again.
3895,2010-06-13,426,Karkat: Examine slimy purple pod.
3896,2010-06-13,426,Karkat: Get in.
3897,2010-06-13,426,Karkat: Examine movie posters.
3898,2010-06-13,426,======>
3899,2010-06-13,426,Karkat: Captchalogue sickle.
3900,2010-06-13,426,Karkat: Take card vault.
3901,2010-06-14,427,Karkat: Examine large black book.
3902,2010-06-14,427,======>
3903,2010-06-14,427,Karkat: Leave your room.
3904,2010-06-14,427,Karkat: Examine neighborhood.
3905,2010-06-14,427,======>
3906,2010-06-14,427,Karkat: Go back inside.
3907,2010-06-14,427,Karkat: Check out magazine.
3908,2010-06-14,427,Karkat: Check out DVD.
3909,2010-06-14,427,Karkat: Get down to business on computer.
3910,2010-06-15,428,Karkat: Answer troll.
3911,2010-06-15,428,======>
3912,2010-06-15,428,Enter name.
3913,2010-06-15,428,Gamzee: Captchalogue bottle of Faygo.
3914,2010-06-15,428,Gamzee: Captchalogue computer.
3915,2010-06-15,428,Gamzee: Ride one wheel device.
3916,2010-06-15,428,======>
3917,2010-06-15,428,Gamzee: Sample delicious pie cooling on the counter.
3918,2010-06-15,428,Gamzee: Take a juggling club.
3919,2010-06-15,428,Gamzee: Go outside.
3920,2010-06-16,429,======>
3921,2010-06-16,429,Gamzee: Retrieve husktop.
3922,2010-06-16,429,======>
3923,2010-06-16,429,======>
3924,2010-06-16,429,Gamzee: Answer troll.
3925,2010-06-16,429,Karkat: Get some programming done.
3926,2010-06-16,429,Karkat: Check out one of his files.
3927,2010-06-16,429,Karkat: Answer troll.
3928,2010-06-16,429,======>
3929,2010-06-17,430,======>
3930,2010-06-17,430,======>
3931,2010-06-17,430,Enter name.
3932,2010-06-17,430,Terezi: Cut to the chase and begin LARPing immediately.
3933,2010-06-17,430,Terezi: Interrogate.
3934,2010-06-17,430,======>
3935,2010-06-17,430,======>
3936,2010-06-17,430,Terezi: Slap him around a bit.
3937,2010-06-17,430,======>
3938,2010-06-18,431,======>
3939,2010-06-18,431,Terezi: Call a witness.
3940,2010-06-18,431,======>
3941,2010-06-18,431,======>
3942,2010-06-18,431,Terezi: Sentence the criminal.
3943,2010-06-18,431,Terezi: Flip.
3944,2010-06-18,431,======>
3945,2010-06-18,431,======>
3946,2010-06-18,431,======>
3947,2010-06-18,431,======>
3948,2010-06-19,432,======>
3949,2010-06-19,432,======>
3950,2010-06-19,432,Terezi: Adjourn.
3951,2010-06-19,432,======>
3952,2010-06-19,432,Terezi: Go get cane.
3953,2010-06-19,432,======>
3954,2010-06-20,433,Terezi: Begin recruiting red team members.
3955,2010-06-20,433,Terezi: Troll AC.
3956,2010-06-20,433,Terezi: Troll TC.
3957,2010-06-20,433,======>
3958,2010-06-20,433,Terezi: Deal with Karkat.
3959,2010-06-20,433,A little later...
3960,2010-06-20,433,======>
3961,2010-06-20,433,Karkat: Deal with Terezi.
3962,2010-06-21,434,A little while ago...
3963,2010-06-21,434,======>
3964,2010-06-21,434,======>
3965,2010-06-21,434,======>
3966,2010-06-21,434,A little later...
3967,2010-06-21,434,======>
3968,2010-06-21,434,And later still...
3969,2010-06-21,434,Karkat: Deal with crabby customer.
3970,2010-06-22,435,[S???] ======>
3971,2010-06-22,435,======>
3972,2010-06-22,435,======>
3973,2010-06-22,435,Yeah.
3974,2010-06-22,435,======>
3975,2010-06-22,435,======>
3976,2010-06-22,435,Enter name.
3977,2010-06-23,436,Sollux: Equip throwing stars to strife specibus.
3978,2010-06-23,436,Sollux: Fling stars specibus-ward.
3979,2010-06-23,436,Sollux: Taste honey.
3980,2010-06-23,436,Sollux: Calm those bees down.
3981,2010-06-23,436,Sollux: Get to work at computer.
3982,2010-06-23,436,Sollux: Recruit team leader.
3983,2010-06-24,437,======>
3984,2010-06-24,437,======>
3985,2010-06-24,437,Sollux: Deal with apocalypseArisen.
3986,2010-06-24,437,Sollux: Abort.
3987,2010-06-25,438,======>
3988,2010-06-25,438,======>
3989,2010-06-25,438,======>
3990,2010-06-25,438,Sollux: Lament.
3991,2010-06-25,438,Sollux: Delete.
3992,2010-06-25,438,======>
3993,2010-06-25,438,======>
3994,2010-06-25,438,======>
3995,2010-06-25,438,======>
3996,2010-06-26,439,Be the other girl.
3997,2010-06-26,439,======>
3998,2010-06-26,439,======>
3999,2010-06-26,439,======>
4000,2010-06-27,440,Stop being the other girl.
4001,2010-06-27,440,Enter name.
4002,2010-06-27,440,Tavros: Cut to the chase and play card games immediately.
4003,2010-06-27,440,======>
4004,2010-06-27,440,======>
4005,2010-06-27,440,======>
4006,2010-06-27,440,======>
4007,2010-06-27,440,======>
4008,2010-06-27,440,======>
4009,2010-06-28,441,Tavros: Command faithful steed.
4010,2010-06-28,441,Tavros: Horsaroni: Spawntech -> Slumberbuddies.
4011,2010-06-28,441,======>
4012,2010-06-28,441,======>
4013,2010-06-29,442,Tavros: Roll up your ramp.
4014,2010-06-29,442,Tavros: Hop in.
4015,2010-06-29,442,Tavros: Take lance.
4016,2010-06-29,442,======>
4017,2010-06-29,442,Tavros: Admire posters.
4018,2010-06-29,442,Way in the future...
4019,2010-06-29,442,======>
4020,2010-06-29,442,======>
4021,2010-06-29,442,And way back again...
4022,2010-06-29,442,Tavros: Deal with AG.
4023,2010-06-30,443,Tavros: Rap with TC.
4024,2010-06-30,443,======>
4025,2010-06-30,443,======>
4026,2010-06-30,443,======>
4027,2010-06-30,443,======>
4028,2010-06-30,443,======>
4029,2010-07-01,444,======>
4030,2010-07-01,444,======>
4031,2010-07-01,444,======>
4032,2010-07-01,444,Be the other other girl.
4033,2010-07-01,444,Render the girl in a more symbolic manner.
4034,2010-07-01,444,Enter name.
4035,2010-07-02,445,Aradia: Retrieve computer.
4036,2010-07-02,445,======>
4037,2010-07-02,445,======>
4038,2010-07-02,445,======>
4039,2010-07-02,445,Aradia: Humor GA.
4040,2010-07-02,445,======>
4041,2010-07-02,445,Aradia: Check on Sollux.
4042,2010-07-02,445,Aradia: Go up.
4043,2010-07-02,445,======>
4044,2010-07-02,445,Aradia: Get bugged by AG.
4045,2010-07-03,446,Be the mysterious spider girl.
4046,2010-07-03,446,Sollux: Get back to Aradia.
4047,2010-07-03,446,Sollux: Look out window.
4048,2010-07-03,446,======>
4049,2010-07-03,446,======>
4050,2010-07-03,446,Much later...
4051,2010-07-03,446,Sollux: Wake up.
4052,2010-07-03,446,======>
4053,2010-07-03,446,======>
4054,2010-07-03,446,======>
4055,2010-07-04,447,======>
4056,2010-07-04,447,Enter name.
4057,2010-07-04,447,Nepeta: Retrieve claws from arms.
4058,2010-07-04,447,Nepeta: Scratch lusus behind ears.
4059,2010-07-04,447,======>
4060,2010-07-04,447,Nepeta: Examine computer.
4061,2010-07-05,448,Nepeta: Answer Karkat.
4062,2010-07-05,448,Nepeta: Consult with friend on the matter.
4063,2010-07-05,448,======>
4064,2010-07-05,448,Nepeta: Give Tavros the bad news.
4065,2010-07-06,449,======>
4066,2010-07-06,449,======>
4067,2010-07-06,449,Some time ago...
4068,2010-07-06,449,Tavros: Contact fellow Team Charge member.
4069,2010-07-06,449,Tavros: Hatch campaign.
4070,2010-07-06,449,======>
4071,2010-07-06,449,Tavros: Go outside and begin adventure.
4072,2010-07-06,449,A little later...
4073,2010-07-06,449,======>
4074,2010-07-06,449,======>
4075,2010-07-06,449,======>
4076,2010-07-06,449,======>
4077,2010-07-07,450,======>
4078,2010-07-07,450,Back in the present...
4079,2010-07-08,451,Karkat: Be the other asshole.
4080,2010-07-08,451,HURRY
4081,2010-07-08,451,======>
4082,2010-07-08,451,======>
4083,2010-07-09,452,Aradia: Go home.
4084,2010-07-09,452,======>
4085,2010-07-09,452,Aradia: Begin session.
4086,2010-07-09,452,Aradia: Connect to server player.
4087,2010-07-09,452,Aradia: Tier 1 prototype.
4088,2010-07-09,452,======>
4089,2010-07-09,452,Aradia: Enter.
4090,2010-07-09,452,======>
4091,2010-07-09,452,Aradia: Tier 2 prototype.
4092,2010-07-09,452,======>
4093,2010-07-09,452,Nepeta: Interrogate frog girl.
4094,2010-07-10,453,Aradia: Be the huge bitch.
4095,2010-07-10,453,Enter name.
4096,2010-07-10,453,Vriska: Check out cool drawing on wall.
4097,2010-07-10,453,Vriska: Proceed to computer.
4098,2010-07-10,453,======>
4099,2010-07-10,453,Vriska: Take dice.
4100,2010-07-11,454,Vriska: Begin meddling.
4101,2010-07-11,454,======>
4102,2010-07-11,454,Vriska: Deal with this guy.
4103,2010-07-11,454,======>
4104,2010-07-11,454,Vriska: Endure meddling.
4105,2010-07-11,454,Vriska: Check on lusus.
4106,2010-07-11,454,======>
4107,2010-07-11,454,======>
4108,2010-07-12,455,======>
4109,2010-07-12,455,======>
4110,2010-07-12,455,======>
4111,2010-07-12,455,Enter name.
4112,2010-07-12,455,Equius: Check on lusus.
4113,2010-07-12,455,======>
4114,2010-07-12,455,Equius: Thank Aurthour.
4115,2010-07-12,455,======>
4116,2010-07-12,455,Equius: Drink lusus milk.
4117,2010-07-12,455,======>
4118,2010-07-13,456,Equius: Equiup a bow.
4119,2010-07-13,456,======>
4120,2010-07-13,456,Equius: Answer.
4121,2010-07-13,456,Equius: Talk to friend/enemy.
4122,2010-07-13,456,Vriska: Be in cahoots with Equius. Cahoooooooots.
4123,2010-07-13,456,======>
4124,2010-07-14,457,Equius: Go check on Aradia's present.
4125,2010-07-14,457,Equius: Remove tarp.
4126,2010-07-14,457,======>
4127,2010-07-14,457,======>
4128,2010-07-14,457,======>
4129,2010-07-14,457,======>
4130,2010-07-14,457,======>
4131,2010-07-14,457,======>
4132,2010-07-14,457,======>
4133,2010-07-14,457,======>
4134,2010-07-14,457,======>
4135,2010-07-14,457,======>
4136,2010-07-14,457,Moments earlier...
4137,2010-07-14,457,Vriska: Meddle with Terezi.
4138,2010-07-15,458,And much earlier than that...
4139,2010-07-15,458,======>
4140,2010-07-15,458,======>
4141,2010-07-15,458,Aradia: Make her pay.
4142,2010-07-15,458,======>
4143,2010-07-15,458,======>
4144,2010-07-15,458,Vriska: Answer white text guy.
4145,2010-07-16,459,Vriska: Make her pay.
4146,2010-07-16,459,======>
4147,2010-07-16,459,======>
4148,2010-07-16,459,======>
4149,2010-07-16,459,======>
4150,2010-07-16,459,======>
4151,2010-07-16,459,======>
4152,2010-07-16,459,======>
4153,2010-07-16,459,Be the white text guy.
4154,2010-07-17,460,======>
4155,2010-07-17,460,======>
4156,2010-07-17,460,======>
4157,2010-07-17,460,Terezi: Orchestrate demise of the wicked.
4158,2010-07-17,460,Terezi: Contact partner in crime.
4159,2010-07-17,460,Vriska: Consult little advantage.
4160,2010-07-17,460,======>
4161,2010-07-17,460,======>
4162,2010-07-17,460,======>
4163,2010-07-17,460,Terezi: Inform Mr. Vanilla Milkshake about his missing orb.
4164,2010-07-17,460,======>
4165,2010-07-17,460,======>
4166,2010-07-17,460,======>
4167,2010-07-17,460,======>
4168,2010-07-17,460,In the aftermath of more recent misfortune...
4169,2010-07-18,461,======>
4170,2010-07-18,461,Vriska: Roll.
4171,2010-07-18,461,======>
4172,2010-07-18,461,======>
4173,2010-07-18,461,======>
4174,2010-07-18,461,======>
4175,2010-07-18,461,======>
4176,2010-07-18,461,Vriska: What's her deal????????
4177,2010-07-19,462,======>
4178,2010-07-19,462,Equius: Let her know the deal.
4179,2010-07-19,462,======>
4180,2010-07-19,462,======>
4181,2010-07-19,462,======>
4182,2010-07-19,462,Equius: Proceed to second gate.
4183,2010-07-19,462,======>
4184,2010-07-20,463,Equius: Enter.
4185,2010-07-20,463,Equius: Deliver present.
4186,2010-07-20,463,Aradiasprite: Enter soulbot.
4187,2010-07-20,463,======>
4188,2010-07-20,463,======>
4189,2010-07-20,463,======>
4190,2010-07-20,463,======>
4191,2010-07-20,463,======>
4192,2010-07-20,463,======>
4193,2010-07-20,463,======>
4194,2010-07-27,470,======>
4195,2010-07-27,470,Nepeta: Update wall.
4196,2010-07-28,471,Karkat: Recruit Vriska.
4197,2010-07-28,471,======>
4198,2010-07-28,471,Be Jack a few minutes ago...
4199,2010-07-28,471,======>
4200,2010-07-28,471,Jack: Look at knife.
4201,2010-07-28,471,======>
4202,2010-07-28,471,======>
4203,2010-07-28,471,======>
4204,2010-07-28,471,======>
4205,2010-07-28,471,======>
4206,2010-07-29,472,Karkat: Be in cahoots with Jack.
4207,2010-07-29,472,======>
4208,2010-07-29,472,======>
4209,2010-07-29,472,======>
4210,2010-07-29,472,Red team: Execute Operation Regisurp.
4211,2010-07-29,472,======>
4212,2010-07-30,473,======>
4213,2010-07-30,473,======>
4214,2010-07-30,473,======>
4215,2010-07-30,473,======>
4216,2010-07-30,473,======>
4217,2010-07-30,473,======>
4218,2010-07-30,473,======>
4219,2010-07-30,473,======>
4220,2010-07-31,474,======>
4221,2010-07-31,474,======>
4222,2010-07-31,474,And pages and pages and pages.
4223,2010-07-31,474,Enter name.
4224,2010-07-31,474,Kanaya: Equip chainsaw.
4225,2010-07-31,474,"Kanaya: Fine, equip that then."
4226,2010-07-31,474,Kanaya: Apply.
4227,2010-07-31,474,======>
4228,2010-08-01,475,Kanaya: Answer CC.
4229,2010-08-02,476,Kanaya: Check on lusus.
4230,2010-08-02,476,======>
4231,2010-08-02,476,======>
4232,2010-08-02,476,Kanaya: Go downstairs.
4233,2010-08-02,476,Kanaya: Operate.
4234,2010-08-02,476,======>
4235,2010-08-02,476,======>
4236,2010-08-02,476,======>
4237,2010-08-02,476,Kanaya: Captchalogue that thing.
4238,2010-08-02,476,======>
4239,2010-08-02,476,Kanaya: Just a taste.
4240,2010-08-02,476,======>
4241,2010-08-02,476,Kanaya: Meddle with moirail.
4242,2010-08-03,477,======>
4243,2010-08-03,477,Kanaya: Answer CA.
4244,2010-08-03,477,Kanaya: Return to room.
4245,2010-08-03,477,Kanaya: Consult source.
4246,2010-08-03,477,======>
4247,2010-08-03,477,======>
4248,2010-08-04,478,Tavros: Enter.
4249,2010-08-05,479,And in time...
4250,2010-08-05,479,======>
4251,2010-08-05,479,======>
4252,2010-08-05,479,Tavros: Summon Rufio.
4253,2010-08-05,479,======>
4254,2010-08-06,480,Vriska: Wheeeeeeee!
4255,2010-08-06,480,======>
4256,2010-08-06,480,Kanaya: Mediate.
4257,2010-08-06,480,Vriska: Scurry downstairs.
4258,2010-08-06,480,======>
4259,2010-08-06,480,Vriska: Take them.
4260,2010-08-06,480,Vriska: Go back up.
4261,2010-08-06,480,Vriska: Get code.
4262,2010-08-06,480,======>
4263,2010-08-06,480,Vriska: Send code.
4264,2010-08-06,480,Tavros: Alchemize.
4265,2010-08-06,480,"Tavros: Fly, Pupa!!!!!!!!"
4266,2010-08-07,481,"And again, in time..."
4267,2010-08-07,481,Tavros: Lead fearsome entourage into ruins.
4268,2010-08-07,481,======>
4269,2010-08-07,481,Tavros: Confer with teammate.
4270,2010-08-07,481,Tavros: Look at map.
4271,2010-08-07,481,Tavros: Point cherry vehicle toward X on map.
4272,2010-08-07,481,======>
4273,2010-08-07,481,======>
4274,2010-08-08,482,Vriska: Wake up.
4275,2010-08-08,482,Vriska: Help Pupa find shadow.
4276,2010-08-08,482,======>
4277,2010-08-08,482,Vriska: Apply special stardust.
4278,2010-08-08,482,======>
4279,2010-08-08,482,Vriska: Make Pupa have happy thoughts.
4280,2010-08-08,482,======>
4281,2010-08-09,483,======>
4282,2010-08-09,483,======>
4283,2010-08-09,483,======>
4284,2010-08-09,483,======>
4285,2010-08-09,483,======>
4286,2010-08-09,483,Kanaya: Deal with your own crisis.
4287,2010-08-09,483,Kanaya: Return to serving client.
4288,2010-08-09,483,======>
4289,2010-08-09,483,======>
4290,2010-08-10,484,======>
4291,2010-08-10,484,======>
4292,2010-08-10,484,Try to understand.
4293,2010-08-10,484,======>
4294,2010-08-10,484,Examine flushed quadrant.
4295,2010-08-11,485,Examine caliginous quadrant.
4296,2010-08-11,485,======>
4297,2010-08-11,485,Examine ashen quadrant.
4298,2010-08-11,485,======>
4300,2010-08-11,485,======>
4301,2010-08-12,486,Examine pale quadrant.
4302,2010-08-12,486,======>
4303,2010-08-12,486,Wait! More troll romance exposition please.
4304,2010-08-12,486,======>
4305,2010-08-12,486,======>
4306,2010-08-12,486,======>
4307,2010-08-12,486,Attempt 2x transition combo.
4308,2010-08-12,486,Enter name.
4309,2010-08-13,487,Eridan: Do something awesome.
4310,2010-08-13,487,======>
4311,2010-08-13,487,======>
4312,2010-08-13,487,======>
4313,2010-08-13,487,======>
4314,2010-08-13,487,======>
4315,2010-08-13,487,======>
4316,2010-08-13,487,======>
4317,2010-08-13,487,======>
4318,2010-08-13,487,======>
4319,2010-08-13,487,======>
4320,2010-08-13,487,======>
4321,2010-08-14,488,======>
4322,2010-08-14,488,Enter name.
4323,2010-08-14,488,Feferi: Do something adorable.
4324,2010-08-14,488,======>
4325,2010-08-14,488,======>
4326,2010-08-14,488,======>
4327,2010-08-14,488,======>
4328,2010-08-15,489,======>
4329,2010-08-15,489,======>
4330,2010-08-15,489,======>
4331,2010-08-15,489,======>
4332,2010-08-15,489,======>
4333,2010-08-15,489,======>
4334,2010-08-15,489,======>
4335,2010-08-15,489,======>
4336,2010-08-15,489,Feferi: Go home.
4337,2010-08-15,489,Eridan: Go home.
4338,2010-08-16,490,Eridan: Examine block.
4339,2010-08-16,490,======>
4340,2010-08-16,490,Feferi: Examine block.
4341,2010-08-16,490,======>
4342,2010-08-16,490,======>
4343,2010-08-16,490,Eridan and Feferi: Do something ridiculous.
4344,2010-08-16,490,======>
4345,2010-08-16,490,======>
4346,2010-08-16,490,======>
4347,2010-08-16,490,======>
